gemini_output,name,address
"Aburiya Kinnosuke: 213 E 45th St, New York, NY 10017",Aburiya Kinnosuke,"213 E 45th St, New York, NY 10017"
"Akiko: 232 E 9th St, New York, NY 10003",Akiko,"232 E 9th St, New York, NY 10003"
"Bar Masa: 10 Columbus Cir Fl 4, New York, NY 10019",Bar Masa,"10 Columbus Cir Fl 4, New York, NY 10019"
"BondST: 6 Bond St, New York, NY 10012",BondST,"6 Bond St, New York, NY 10012"
"Brushstroke: 30 Hudson St, New York, NY 10013",Brushstroke,"30 Hudson St, New York, NY 10013"
"Donburiya: 259 W 55th St, New York, NY 10019",Donburiya,"259 W 55th St, New York, NY 10019"
"EN Japanese Brasserie: 435 Hudson St, New York, NY 10014",EN Japanese Brasserie,"435 Hudson St, New York, NY 10014"
"Gaijin: 870 9th Ave, New York, NY 10019",Gaijin,"870 9th Ave, New York, NY 10019"
"Hasaki: 210 E 9th St, New York, NY 10003",Hasaki,"210 E 9th St, New York, NY 10003"
"Hibino: 333 Hudson St, New York, NY 10013",Hibino,"333 Hudson St, New York, NY 10013"
Ippudo: Multiple locations in Manhattan,Ippudo,Multiple locations in Manhattan
"Izakaya MEW: 53 W 35th St, New York, NY 10001",Izakaya MEW,"53 W 35th St, New York, NY 10001"
"Jewel Bako: 239 E 5th St, New York, NY 10003",Jewel Bako,"239 E 5th St, New York, NY 10003"
"Kajitsu: 125 E 39th St, New York, NY 10016",Kajitsu,"125 E 39th St, New York, NY 10016"
"Katana Kitten: 531 Hudson St, New York, NY 10014",Katana Kitten,"531 Hudson St, New York, NY 10014"
"Kochi: 652 Hudson St, New York, NY 10014",Kochi,"652 Hudson St, New York, NY 10014"
"Momofuku Ko: 8 Extra Pl, New York, NY 10003",Momofuku Ko,"8 Extra Pl, New York, NY 10003"
"Momofuku Noodle Bar: 171 1st Ave, New York, NY 10003",Momofuku Noodle Bar,"171 1st Ave, New York, NY 10003"
"Nakazawa: 23 Commerce St, New York, NY 10014",Nakazawa,"23 Commerce St, New York, NY 10014"
Nami Nori: Multiple locations in Manhattan,Nami Nori,Multiple locations in Manhattan
"Nippon: 155 E 52nd St, New York, NY 10022",Nippon,"155 E 52nd St, New York, NY 10022"
"Noz 17: 137 W 17th St, New York, NY 10011",Noz 17,"137 W 17th St, New York, NY 10011"
"O Ya: 120 E 28th St, New York, NY 10016",O Ya,"120 E 28th St, New York, NY 10016"
"Omen Azen: 152 9th Ave, New York, NY 10011",Omen Azen,"152 9th Ave, New York, NY 10011"
"ROKC: 3452 Broadway, New York, NY 10031",ROKC,"3452 Broadway, New York, NY 10031"
"Sakagura: 211 E 43rd St, New York, NY 10017",Sakagura,"211 E 43rd St, New York, NY 10017"
"Sarashina Horii: 45 E 49th St, New York, NY 10017",Sarashina Horii,"45 E 49th St, New York, NY 10017"
"Sushi Ginza Onodera: 461 5th Ave, New York, NY 10017",Sushi Ginza Onodera,"461 5th Ave, New York, NY 10017"
"Sushi Nakazawa: 23 Commerce St, New York, NY 10014",Sushi Nakazawa,"23 Commerce St, New York, NY 10014"
Sushi of Gari: Multiple locations in Manhattan,Sushi of Gari,Multiple locations in Manhattan
"Sushi Yasuda: 204 E 43rd St, New York, NY 10017",Sushi Yasuda,"204 E 43rd St, New York, NY 10017"
"Tanoshi Sushi Sake Bar: 1372 York Ave, New York, NY 10021",Tanoshi Sushi Sake Bar,"1372 York Ave, New York, NY 10021"
"Tempura Matsui: 222 E 39th St, New York, NY 10016",Tempura Matsui,"222 E 39th St, New York, NY 10016"
"Tetsu: 78 Leonard St, New York, NY 10013",Tetsu,"78 Leonard St, New York, NY 10013"
"Udon West: 248 W 52nd St, New York, NY 10019",Udon West,"248 W 52nd St, New York, NY 10019"
"Yakitori Totto: 251 W 55th St, New York, NY 10019",Yakitori Totto,"251 W 55th St, New York, NY 10019"
"Zauo: 152 W 24th St, New York, NY 10011",Zauo,"152 W 24th St, New York, NY 10011"
"Sobaya: 229 E 9th St, New York, NY 10003",Sobaya,"229 E 9th St, New York, NY 10003"
"Tsurutontan Udon Noodle Brasserie: 21 E 16th St, New York, NY 10003",Tsurutontan Udon Noodle Brasserie,"21 E 16th St, New York, NY 10003"
"Izakaya NoMad: 13 W 26th St, New York, NY 10010",Izakaya NoMad,"13 W 26th St, New York, NY 10010"
"Robataya NY: 231 E 9th St, New York, NY 10003",Robataya NY,"231 E 9th St, New York, NY 10003"
"Soba Totto: 211 E 43rd St, New York, NY 10017",Soba Totto,"211 E 43rd St, New York, NY 10017"
"Yopparai Ronin: 150 E 46th St, New York, NY 10017",Yopparai Ronin,"150 E 46th St, New York, NY 10017"
"Yakitori Taisho: 5 St Marks Pl, New York, NY 10003",Yakitori Taisho,"5 St Marks Pl, New York, NY 10003"
"Cha-An Teahouse: 230 E 9th St, New York, NY 10003",Cha-An Teahouse,"230 E 9th St, New York, NY 10003"
"Menkui Tei: 56 W 13th St, New York, NY 10011",Menkui Tei,"56 W 13th St, New York, NY 10011"
"Sobakoh: 309 E 5th St, New York, NY 10003",Sobakoh,"309 E 5th St, New York, NY 10003"
"Rai Rai Ken: 218 E 10th St, New York, NY 10003",Rai Rai Ken,"218 E 10th St, New York, NY 10003"
"Hide-Chan Ramen: 248 E 52nd St, New York, NY 10022",Hide-Chan Ramen,"248 E 52nd St, New York, NY 10022"
"Momofuku Ssäm Bar: 207 2nd Ave, New York, NY 10003",Momofuku Ssäm Bar,"207 2nd Ave, New York, NY 10003"
"Izakaya Juraku: 125 E 39th St, New York, NY 10016",Izakaya Juraku,"125 E 39th St, New York, NY 10016"
Haru Sushi: Multiple Locations,Haru Sushi,"229 W 43rd St Unit 221, New York, NY 10036, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"5 A Brinkerhoff Terrace, Palisades Park, NJ 07650, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"4009 Bell Blvd #2f, Bayside, NY 11361, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"63 Academy St, South Orange, NJ 07079, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"33-18 Ditmars Blvd, Queens, NY 11105, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"402 W 44th St, New York, NY 10036, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"15 Old Gick Rd, Saratoga Springs, NY 12866, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"622 Manhattan Ave, Brooklyn, NY 11222, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"695 Mayor Kenneth A. Gibson Blvd, Newark, NJ 07102, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"25 S Broad St, Elizabeth, NJ 07202, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"3301 W Armitage Ave, Chicago, IL 60647, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"433 Amsterdam Ave, New York, NY 10024, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"859 9th Ave, New York, NY 10019, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"229 W 43rd St, New York, NY 10036, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"220 Park Ave S, New York, NY 10003, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"176 8th Ave, New York, NY 10011, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"280 Park Ave, New York, NY 10017, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"1 Wall St, New York, NY 10005, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"306 Bergen Blvd, Fairview, NJ 07022, United States"
Haru Sushi: Multiple Locations,Haru Sushi,"25 Cutter Mill Rd #500, Great Neck, NY 11021, United States"
Blue Ribbon Sushi: Multiple Locations,Blue Ribbon Sushi,"119 Sullivan St, New York, NY 10012, United States"
Blue Ribbon Sushi: Multiple Locations,Blue Ribbon Sushi,"84 William St, New York, NY 10038, United States"
Blue Ribbon Sushi: Multiple Locations,Blue Ribbon Sushi,"187 Orchard St, New York, NY 10002, United States"
Blue Ribbon Sushi: Multiple Locations,Blue Ribbon Sushi,"225 Liberty St, New York, NY 10281, United States"
Blue Ribbon Sushi: Multiple Locations,Blue Ribbon Sushi,"Columbus Hotel, 308 W 58th St #6, New York, NY 10019, United States"
Blue Ribbon Sushi: Multiple Locations,Blue Ribbon Sushi,"Rockefeller Plaza, New York, NY 10112, United States"
Blue Ribbon Sushi: Multiple Locations,Blue Ribbon Sushi,"190 Allen St, New York, NY 10002, United States"
Blue Ribbon Sushi: Multiple Locations,Blue Ribbon Sushi,"PENN 1, New York, NY 10119, United States"
Blue Ribbon Sushi: Multiple Locations,Blue Ribbon Sushi,"97 Sullivan St, New York, NY 10012, United States"
Sushi Seki: Multiple Locations,Sushi Seki,"1143 1st Ave., New York, NY 10065, United States"
Sushi Seki: Multiple Locations,Sushi Seki,"TIMES SQUARE, 365 W 46th St, New York, NY 10036, United States"
Sushi Seki: Multiple Locations,Sushi Seki,"208 W 23rd St, New York, NY 10011, United States"
"Sushi AMANE: 245 E 44th St, New York, NY 10017",Sushi AMANE,"245 E 44th St, New York, NY 10017"
"Sushi Noz: 181 E 78th St, New York, NY 10075",Sushi Noz,"181 E 78th St, New York, NY 10075"
Ushiwakamaru: Multiple Locations,Ushiwakamaru,"177 Ludlow St, New York, NY 10002, United States"
Ushiwakamaru: Multiple Locations,Ushiwakamaru,"136 W Houston St, New York, NY 10012, United States"
"Kosaka: 220 W 13th St, New York, NY 10011",Kosaka,"220 W 13th St, New York, NY 10011"
"Bohemian: 57 Great Jones St, New York, NY 10012",Bohemian,"57 Great Jones St, New York, NY 10012"
"Shuko: 47 E 12th St, New York, NY 10003",Shuko,"47 E 12th St, New York, NY 10003"
"Noda: 6 W 28th St, New York, NY 10001",Noda,"6 W 28th St, New York, NY 10001"
"Temakase: 6 E 32nd St, New York, NY 10016",Temakase,"6 E 32nd St, New York, NY 10016"
Kissaki: Multiple Locations,Kissaki,"319 Bowery, New York, NY 10003, United States"
Kissaki: Multiple Locations,Kissaki,"20 Hudson Yards #220, New York, NY 10017, United States"
Kissaki: Multiple Locations,Kissaki,"407 Plandome Rd, Manhasset, NY 11030, United States"
"Jua: 36 E 22nd St, New York, NY 10010",Jua,"36 E 22nd St, New York, NY 10010"
"Odo: 17 W 20th St, New York, NY 10011",Odo,"17 W 20th St, New York, NY 10011"
"Ichimura at Uchū: 217 Eldridge St, New York, NY 10002",Ichimura at Uchū,"217 Eldridge St, New York, NY 10002"
"Torien: 292 Elizabeth St, New York, NY 10012",Torien,"292 Elizabeth St, New York, NY 10012"
"Nonono: 118 Madison Ave, New York, NY 10016",Nonono,"118 Madison Ave, New York, NY 10016"
Sushi on Jones: Multiple Locations,Sushi on Jones,"210 W 10th St, New York, NY 10014, United States"
Sushi on Jones: Multiple Locations,Sushi on Jones,"217 Eldridge St, New York, NY 10002, United States"
Sushi on Jones: Multiple Locations,Sushi on Jones,"97 N 10th St, Brooklyn, NY 11249, United States"
"15 East @ Tocqueville: 15 E 15th St, New York, NY 10003",15 East @ Tocqueville,"15 E 15th St, New York, NY 10003"
"Omakase Room by Tatsu: 285 W Broadway, New York, NY 10013",Omakase Room by Tatsu,"285 W Broadway, New York, NY 10013"
"Sushi Ishikawa: 419 E 9th St, New York, NY 10009",Sushi Ishikawa,"419 E 9th St, New York, NY 10009"
"Tetsu Basement: 135 Thompson St, New York, NY 10012",Tetsu Basement,"135 Thompson St, New York, NY 10012"
Ootaya: Multiple Locations,Ootaya,"8 W 18th St, New York, NY 10011, United States"
Ootaya: Multiple Locations,Ootaya,"41 E 11th St, New York, NY 10003, United States"
Ootaya: Multiple Locations,Ootaya,"141 W 41st St, New York, NY 10036, United States"
